"Date","Price","Open","High","Low","Vol.","Change %"
"2021-9-20","0.021","0.021","0.021","0.020","6.98M","-4.55%"
"2021-9-17","0.022","0.022","0.022","0.021","232.00K","0.00%"
"2021-9-16","0.022","0.021","0.023","0.021","48.00K","-4.35%"
"2021-9-15","0.023","0.023","0.023","0.021","4.15M","0.00%"
"2021-9-14","0.023","0.021","0.023","0.021","4.17M","9.52%"
"2021-9-13","0.021","0.021","0.021","0.021","368.00K","-8.70%"
"2021-9-10","0.023","0.022","0.023","0.021","10.23M","4.55%"
"2021-9-9","0.022","0.023","0.023","0.021","4.22M","-4.35%"
"2021-9-8","0.023","0.023","0.023","0.022","576.00K","4.55%"
"2021-9-7","0.022","0.022","0.023","0.022","4.71M","0.00%"
"2021-9-6","0.022","0.022","0.022","0.021","3.98M","0.00%"
"2021-9-3","0.022","0.022","0.023","0.022","1.11M","0.00%"
"2021-9-2","0.022","0.022","0.023","0.021","152.00K","0.00%"
"2021-9-1","0.022","0.022","0.023","0.022","832.00K","0.00%"
"2021-8-31","0.022","0.022","0.022","0.022","2.00M","0.00%"
"2021-8-30","0.022","0.022","0.022","0.020","5.65M","0.00%"
"2021-8-27","0.022","0.021","0.022","0.021","3.09M","0.00%"
"2021-8-26","0.022","0.022","0.022","0.021","4.92M","0.00%"
"2021-8-25","0.022","0.021","0.022","0.021","1.07M","4.76%"
"2021-8-24","0.021","0.022","0.022","0.021","2.70M","-4.55%"
"2021-8-23","0.022","0.022","0.022","0.021","1.94M","0.00%"
"2021-8-20","0.022","0.022","0.022","0.021","6.32M","0.00%"
"2021-8-19","0.022","0.023","0.023","0.021","15.51M","-4.35%"
"2021-8-18","0.023","0.023","0.023","0.023","4.15M","0.00%"
"2021-8-17","0.023","0.024","0.024","0.022","4.25M","-4.17%"
"2021-8-16","0.024","0.023","0.024","0.022","3.30M","4.35%"
"2021-8-13","0.023","0.022","0.023","0.022","2.14M","0.00%"
"2021-8-12","0.023","0.023","0.023","0.022","2.97M","0.00%"
"2021-8-11","0.023","0.023","0.023","0.023","2.79M","-4.17%"
"2021-8-10","0.024","0.024","0.024","0.023","3.18M","0.00%"
"2021-8-9","0.024","0.024","0.024","0.023","1.53M","0.00%"
"2021-8-6","0.024","0.024","0.024","0.023","5.94M","0.00%"
"2021-8-5","0.024","0.025","0.025","0.023","2.36M","0.00%"
"2021-8-4","0.024","0.023","0.024","0.023","4.54M","0.00%"
"2021-8-3","0.024","0.023","0.024","0.023","2.62M","0.00%"
"2021-8-2","0.024","0.023","0.024","0.023","5.49M","-4.00%"
"2021-7-30","0.025","0.025","0.025","0.025","","0.00%"
"2021-7-29","0.025","0.023","0.025","0.023","2.49M","4.17%"
"2021-7-28","0.024","0.024","0.024","0.022","3.66M","0.00%"
"2021-7-27","0.024","0.025","0.025","0.023","7.33M","-4.00%"
"2021-7-26","0.025","0.025","0.025","0.023","10.81M","0.00%"
"2021-7-23","0.025","0.024","0.025","0.024","1.80M","0.00%"
"2021-7-22","0.025","0.026","0.026","0.025","10.70M","-3.85%"
"2021-7-21","0.026","0.025","0.026","0.024","9.31M","4.00%"
"2021-7-20","0.025","0.026","0.026","0.024","8.87M","-3.85%"
"2021-7-19","0.026","0.027","0.027","0.026","6.09M","-3.70%"
"2021-7-16","0.027","0.027","0.027","0.026","2.64M","0.00%"
"2021-7-15","0.027","0.028","0.028","0.026","4.48M","-3.57%"
"2021-7-14","0.028","0.028","0.028","0.027","1.42M","0.00%"
"2021-7-13","0.028","0.027","0.028","0.026","6.09M","3.70%"
"2021-7-12","0.027","0.028","0.028","0.027","2.20M","-3.57%"
"2021-7-9","0.028","0.026","0.028","0.026","7.67M","7.69%"
"2021-7-8","0.026","0.028","0.028","0.026","14.19M","-3.70%"
"2021-7-7","0.027","0.027","0.028","0.027","11.34M","0.00%"
"2021-7-6","0.027","0.026","0.028","0.026","6.11M","0.00%"
"2021-7-5","0.027","0.028","0.028","0.026","14.08M","-3.57%"
"2021-7-2","0.028","0.029","0.029","0.027","9.68M","-3.45%"
"2021-6-30","0.029","0.030","0.030","0.029","2.94M","-3.33%"
"2021-6-29","0.030","0.031","0.031","0.029","5.89M","-3.23%"
"2021-6-28","0.031","0.031","0.031","0.029","13.70M","0.00%"
"2021-6-25","0.031","0.031","0.032","0.031","13.50M","0.00%"
"2021-6-24","0.031","0.031","0.033","0.030","21.78M","0.00%"
"2021-6-23","0.031","0.027","0.033","0.027","30.13M","10.71%"
"2021-6-22","0.028","0.027","0.029","0.026","11.39M","3.70%"
"2021-6-21","0.027","0.026","0.028","0.025","9.51M","3.85%"
"2021-6-18","0.026","0.026","0.027","0.025","5.70M","0.00%"
"2021-6-17","0.026","0.026","0.027","0.025","5.41M","0.00%"
"2021-6-16","0.026","0.027","0.027","0.026","4.10M","0.00%"
"2021-6-15","0.026","0.027","0.027","0.025","7.14M","-3.70%"
"2021-6-11","0.027","0.025","0.027","0.025","10.01M","3.85%"
"2021-6-10","0.026","0.027","0.028","0.026","8.42M","-3.70%"
"2021-6-9","0.027","0.028","0.029","0.026","16.88M","-3.57%"
"2021-6-8","0.028","0.027","0.030","0.026","47.97M","7.69%"
"2021-6-7","0.026","0.028","0.028","0.026","11.47M","-7.14%"
"2021-6-4","0.028","0.029","0.029","0.026","23.22M","-3.45%"
"2021-6-3","0.029","0.031","0.032","0.028","26.37M","-6.45%"
"2021-6-2","0.031","0.026","0.032","0.025","112.77M","19.23%"
"2021-6-1","0.026","0.026","0.028","0.025","35.46M","-3.70%"
"2021-5-31","0.027","0.029","0.029","0.026","27.55M","-6.90%"
"2021-5-28","0.029","0.032","0.034","0.029","32.90M","-3.33%"
"2021-5-27","0.030","0.036","0.036","0.027","85.25M","-14.29%"
"2021-5-26","0.035","0.049","0.055","0.032","364.16M","-5.41%"
"2021-5-24","0.037","0.035","0.047","0.035","573.66M","19.35%"
"2021-5-21","0.031","0.021","0.032","0.020","110.77M","47.62%"
"2021-5-20","0.021","0.022","0.022","0.021","3.22M","-4.55%"
"2021-5-18","0.022","0.020","0.022","0.020","11.19M","0.00%"
"2021-5-17","0.022","0.022","0.022","0.021","1.14M","0.00%"
"2021-5-14","0.022","0.022","0.022","0.020","4.10M","0.00%"
"2021-5-13","0.022","0.022","0.023","0.021","10.66M","-4.35%"
"2021-5-12","0.023","0.022","0.023","0.021","9.35M","4.55%"
"2021-5-11","0.022","0.022","0.022","0.020","28.74M","0.00%"
"2021-5-10","0.022","0.021","0.022","0.021","9.64M","4.76%"
"2021-5-7","0.021","0.022","0.022","0.021","2.01M","-4.55%"
"2021-5-6","0.022","0.022","0.022","0.021","5.58M","0.00%"
"2021-5-5","0.022","0.022","0.022","0.022","2.41M","4.76%"
"2021-5-4","0.021","0.021","0.021","0.020","16.22M","0.00%"
"2021-5-3","0.021","0.022","0.022","0.020","44.03M","-4.55%"
"2021-4-30","0.022","0.023","0.023","0.021","2.98M","-4.35%"
"2021-4-29","0.023","0.023","0.023","0.022","3.57M","0.00%"
"2021-4-28","0.023","0.022","0.024","0.022","14.90M","4.55%"
"2021-4-27","0.022","0.023","0.023","0.022","6.61M","-4.35%"
"2021-4-26","0.023","0.023","0.023","0.022","11.81M","0.00%"
"2021-4-23","0.023","0.024","0.024","0.022","8.75M","-4.17%"
"2021-4-22","0.024","0.024","0.024","0.023","3.40M","0.00%"
"2021-4-21","0.024","0.023","0.024","0.022","7.61M","0.00%"
"2021-4-20","0.024","0.024","0.024","0.023","1.21M","0.00%"
"2021-4-19","0.024","0.025","0.025","0.023","3.57M","-4.00%"
"2021-4-16","0.025","0.025","0.025","0.023","5.52M","0.00%"
"2021-4-15","0.025","0.024","0.026","0.024","6.83M","4.17%"
"2021-4-14","0.024","0.023","0.024","0.022","12.13M","0.00%"
"2021-4-13","0.024","0.024","0.024","0.024","3.02M","-4.00%"
"2021-4-12","0.025","0.025","0.026","0.025","8.39M","0.00%"
"2021-4-9","0.025","0.023","0.025","0.023","1.51M","4.17%"
"2021-4-8","0.024","0.025","0.025","0.024","3.18M","-4.00%"
"2021-4-7","0.025","0.023","0.025","0.023","22.81M","13.64%"
"2021-4-1","0.022","0.023","0.023","0.022","7.22M","-4.35%"
"2021-3-31","0.023","0.024","0.024","0.023","5.45M","-4.17%"
"2021-3-30","0.024","0.024","0.024","0.023","496.00K","0.00%"
"2021-3-29","0.024","0.024","0.024","0.022","4.12M","0.00%"
"2021-3-26","0.024","0.023","0.024","0.023","2.62M","4.35%"
"2021-3-25","0.023","0.024","0.024","0.022","6.16M","-4.17%"
"2021-3-24","0.024","0.025","0.025","0.022","16.38M","-4.00%"
"2021-3-23","0.025","0.026","0.026","0.024","7.74M","-3.85%"
"2021-3-22","0.026","0.026","0.026","0.025","3.10M","0.00%"
"2021-3-19","0.026","0.027","0.027","0.024","8.46M","-3.70%"
"2021-3-18","0.027","0.027","0.027","0.025","4.92M","0.00%"
"2021-3-17","0.027","0.026","0.027","0.026","4.15M","3.85%"
"2021-3-16","0.026","0.025","0.027","0.025","12.09M","4.00%"
"2021-3-15","0.025","0.025","0.026","0.025","3.39M","0.00%"
"2021-3-12","0.025","0.025","0.026","0.024","7.30M","-3.85%"
"2021-3-11","0.026","0.023","0.026","0.023","16.94M","8.33%"
"2021-3-10","0.024","0.024","0.024","0.024","1.08M","-4.00%"
"2021-3-9","0.025","0.024","0.025","0.023","9.15M","0.00%"
"2021-3-8","0.025","0.027","0.027","0.025","22.11M","-10.71%"
"2021-3-5","0.028","0.028","0.029","0.027","9.83M","0.00%"
"2021-3-4","0.028","0.029","0.029","0.027","11.33M","-3.45%"
"2021-3-3","0.029","0.028","0.029","0.027","19.28M","0.00%"
"2021-3-2","0.029","0.030","0.030","0.028","19.42M","-3.33%"
"2021-3-1","0.030","0.029","0.031","0.028","10.86M","3.45%"
"2021-2-26","0.029","0.029","0.029","0.028","33.56M","-6.45%"
"2021-2-25","0.031","0.032","0.034","0.029","23.12M","-3.13%"
"2021-2-24","0.032","0.037","0.037","0.030","55.89M","-13.51%"
"2021-2-23","0.037","0.031","0.037","0.030","96.38M","19.35%"
"2021-2-22","0.031","0.030","0.032","0.028","65.73M","6.90%"
"2021-2-19","0.029","0.028","0.034","0.026","490.90M","7.41%"
"2021-2-18","0.027","0.023","0.029","0.023","196.75M","17.39%"
"2021-2-17","0.023","0.022","0.023","0.022","51.53M","4.55%"
"2021-2-16","0.022","0.020","0.022","0.020","74.23M","4.76%"
"2021-2-11","0.021","0.021","0.021","0.020","56.18M","-4.55%"
"2021-2-10","0.022","0.022","0.023","0.021","45.89M","0.00%"
"2021-2-9","0.022","0.023","0.024","0.020","56.38M","-8.33%"
"2021-2-8","0.024","0.024","0.025","0.023","19.03M","0.00%"
"2021-2-5","0.024","0.022","0.029","0.022","230.81M","14.29%"
"2021-2-4","0.021","0.021","0.022","0.021","13.77M","0.00%"
"2021-2-3","0.021","0.021","0.022","0.020","6.89M","-4.55%"
"2021-2-2","0.022","0.022","0.022","0.020","63.45M","0.00%"
"2021-2-1","0.022","0.022","0.023","0.020","132.43M","-4.35%"
"2021-1-29","0.023","0.024","0.024","0.021","101.88M","-4.17%"
"2021-1-28","0.024","0.026","0.031","0.022","239.10M","-7.69%"
"2021-1-27","0.026","0.027","0.027","0.024","23.82M","-7.14%"
"2021-1-26","0.028","0.028","0.029","0.026","8.42M","0.00%"
"2021-1-25","0.028","0.030","0.030","0.027","25.44M","-3.45%"
"2021-1-22","0.029","0.029","0.031","0.028","7.06M","-3.33%"
"2021-1-21","0.030","0.030","0.031","0.027","14.03M","0.00%"
"2021-1-20","0.030","0.029","0.030","0.028","9.64M","3.45%"
"2021-1-19","0.029","0.031","0.031","0.029","8.30M","-6.45%"
"2021-1-18","0.031","0.031","0.034","0.029","57.88M","-6.06%"
"2021-1-15","0.033","0.031","0.035","0.031","49.68M","10.00%"
"2021-1-14","0.030","0.032","0.034","0.029","77.65M","-11.76%"
"2021-1-13","0.034","0.036","0.045","0.033","98.32M","-5.56%"
"2021-1-12","0.036","0.044","0.044","0.034","31.35M","-18.18%"
"2021-1-11","0.044","0.048","0.048","0.043","30.91M","-8.33%"
"2021-1-8","0.048","0.048","0.052","0.047","22.47M","0.00%"
"2021-1-7","0.048","0.049","0.050","0.046","29.16M","-2.04%"
"2021-1-6","0.049","0.050","0.053","0.044","82.33M","-5.77%"
"2021-1-5","0.052","0.060","0.062","0.050","61.34M","-13.33%"
"2021-1-4","0.060","0.062","0.069","0.060","10.38M","-3.23%"
"2020-12-31","0.062","0.062","0.062","0.062","21.00K","-3.13%"
"2020-12-30","0.064","0.065","0.069","0.064","14.62M","-1.54%"
"2020-12-29","0.065","0.066","0.073","0.065","1.66M","-5.80%"
"2020-12-28","0.069","0.077","0.077","0.066","14.57M","2.99%"
"2020-12-24","0.067","0.067","0.067","0.067","","0.00%"
"2020-12-23","0.067","0.073","0.073","0.065","24.23M","-4.29%"
"2020-12-22","0.070","0.075","0.081","0.070","25.14M","0.00%"
"2020-12-21","0.070","0.070","0.084","0.070","18.45M","-4.11%"
"2020-12-18","0.073","0.065","0.075","0.065","31.05M","1.39%"
"2020-12-17","0.072","0.079","0.085","0.078","1.26M","2.86%"
"2020-12-16","0.070","0.070","0.070","0.070","","1.45%"
"2020-12-15","0.069","0.069","0.069","0.069","9.60K","2.99%"
"2020-12-14","0.067","0.065","0.069","0.065","317.00K","-1.47%"
"2020-12-11","0.068","0.063","0.068","0.063","72.00K","6.25%"
"2020-12-10","0.064","0.064","0.064","0.064","","-1.54%"
"2020-12-9","0.065","0.070","0.070","0.063","234.00K","1.56%"
"2020-12-8","0.064","0.064","0.064","0.064","","-7.25%"
"2020-12-7","0.069","0.069","0.069","0.069","","0.00%"
"2020-12-4","0.069","0.065","0.069","0.065","61.00K","-2.82%"
"2020-12-3","0.071","0.071","0.071","0.071","","0.00%"
"2020-12-2","0.071","0.071","0.071","0.071","","0.00%"
"2020-12-1","0.071","0.068","0.072","0.068","128.00K","-1.39%"
"2020-11-30","0.072","0.072","0.072","0.072","","-1.37%"
"2020-11-27","0.073","0.073","0.073","0.073","","0.00%"
"2020-11-26","0.073","0.073","0.073","0.073","","0.00%"
"2020-11-25","0.073","0.072","0.073","0.072","4.00K","-1.35%"
"2020-11-24","0.074","0.056","0.079","0.053","464.00K","19.35%"
"2020-11-23","0.062","0.062","0.062","0.062","40.00K","6.90%"
"2020-11-20","0.058","0.066","0.066","0.057","752.30K","-12.12%"
"2020-11-19","0.066","0.066","0.066","0.066","","15.79%"
"2020-11-18","0.057","0.062","0.062","0.056","84.50K","-8.06%"
"2020-11-17","0.062","0.063","0.064","0.058","512.40K","-3.13%"
"2020-11-16","0.064","0.063","0.063","0.063","8.00K","-7.25%"
"2020-11-13","0.069","0.069","0.069","0.069","","0.00%"
"2020-11-12","0.069","0.069","0.069","0.069","128.00K","6.15%"
"2020-11-11","0.065","0.065","0.065","0.065","","-7.14%"
"2020-11-10","0.070","0.062","0.070","0.062","40.60K","1.45%"
"2020-11-9","0.069","0.062","0.069","0.062","24.00K","-1.43%"
"2020-11-6","0.070","0.070","0.070","0.070","","0.00%"
"2020-11-5","0.070","0.070","0.070","0.070","72.00K","0.00%"
"2020-11-4","0.070","0.070","0.070","0.070","","0.00%"
"2020-11-3","0.070","0.070","0.070","0.070","64.00K","0.00%"
"2020-11-2","0.070","0.061","0.070","0.061","90.00K","2.94%"
"2020-10-30","0.068","0.068","0.068","0.068","10.50K","0.00%"
"2020-10-29","0.068","0.068","0.068","0.068","320.00K","1.49%"
